,base_market,quote_market,hedge_ratio,half_life
107,COMP-USD,1INCH-USD,135.15639361877106,2
108,COMP-USD,ENJ-USD,148.20883684483596,2
109,COMP-USD,SNX-USD,19.05156715094239,2
110,COMP-USD,XLM-USD,579.5078961506797,10
111,COMP-USD,ATOM-USD,6.3179100406498785,6
113,ICP-USD,DOT-USD,1.253253472614218,2
114,ICP-USD,ENJ-USD,23.968702526339754,2
115,ICP-USD,XLM-USD,93.76092393,5
116,ALGO-USD,MATIC-USD,0.2469957641763704,4
117,ALGO-USD,XLM-USD,1.9687118710889338,14
118,ALGO-USD,ATOM-USD,0.021465109834945893,9
119,FIL-USD,CELO-USD,7.543805128548167,4
120,FIL-USD,ENJ-USD,17.443979843335228,3
121,FIL-USD,XLM-USD,68.23989641351109,7
122,MATIC-USD,1INCH-USD,1.8589803087410517,2
123,MATIC-USD,ENJ-USD,2.038448136117901,3
124,MATIC-USD,SNX-USD,0.2620431197236122,2
125,MATIC-USD,XLM-USD,7.972884273019971,11
126,MATIC-USD,ATOM-USD,0.086912028,5
127,CRV-USD,ZRX-USD,0.5296172225865631,3
128,CRV-USD,SNX-USD,0.17059526121363078,3
129,DOT-USD,CELO-USD,8.269911979505913,3
130,DOT-USD,ENJ-USD,19.120163417388675,3
131,DOT-USD,XLM-USD,74.80954696371768,5
132,BTC-USD,CELO-USD,56826.275046234325,2
133,BTC-USD,1INCH-USD,119836.5526334744,2
134,BTC-USD,ADA-USD,101835.51773232914,1
135,BTC-USD,ENJ-USD,131368.41982967808,2
136,BTC-USD,ZRX-USD,52411.45685996714,2
137,BTC-USD,SUSHI-USD,39077.49787614253,1
138,BTC-USD,SNX-USD,16894.283725706573,1
139,BTC-USD,ETH-USD,19.006482083797867,1
140,BTC-USD,XLM-USD,514376.63472234574,1
141,BTC-USD,ATOM-USD,5604.276194177453,1
142,BTC-USD,LTC-USD,789.0078608777314,1
143,1INCH-USD,ENJ-USD,1.0965041201272498,2
144,1INCH-USD,XLM-USD,4.288332589932786,8
145,1INCH-USD,ATOM-USD,0.046745242,4
146,1INCH-USD,LTC-USD,0.006578118,11
147,ADA-USD,ENJ-USD,1.290422569600152,3
148,ADA-USD,XLM-USD,5.048169913,6
149,ENJ-USD,SNX-USD,0.1284863169648087,2
150,ENJ-USD,XLM-USD,3.908362382643852,10
151,ENJ-USD,ATOM-USD,0.042609402754689524,5
152,ENJ-USD,LTC-USD,0.005995108,7
153,ZRX-USD,SUSHI-USD,0.7442966936234897,4
154,SNX-USD,XLM-USD,30.42408834226832,8
155,SNX-USD,ATOM-USD,0.33162816853647953,3
156,SNX-USD,LTC-USD,0.046669393033105064,7
157,ETH-USD,XLM-USD,27036.34523985297,1
158,XLM-USD,EOS-USD,0.129132489,5
159,XLM-USD,ATOM-USD,0.010894826454920145,6
160,XLM-USD,LTC-USD,0.001533742,2
